Unnamed: 0.1,Unnamed: 0,vid,video_path,en_srt,zh_srt,age,gender,interests,level,备注,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,zhihu_url
53,55.0,56,Video_Finished\56\56_CE.mp4,Video_Finished\56\56_English.srt,Video_Finished\56\56_Chinese.srt,"prek, k12","male, female","Comedy, Humor",A2,有阿拉伯语,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835214664562270208
54,56.0,57,Video_Finished\57\57_CE.mp4,Video_Finished\57\57_English.srt,Video_Finished\57\57_Chinese.srt,"k12, adult","male, female","Comedy, Pets",A2,有阿拉伯语,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835215144457736192
55,57.0,58,Video_Finished\58\58_CE.mp4,Video_Finished\58\58_English.srt,Video_Finished\58\58_Chinese.srt,adult,"male, female","Comedy, Humor, Culture",B1,有阿拉伯语,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835215601934684160
56,58.0,59,Video_Finished\59\59_CE.mp4,Video_Finished\59\59_English.srt,Video_Finished\59\59_Chinese.srt,prek,"male, female","Nature, Science",B1,有阿拉伯语,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835216065099096065
57,59.0,60,Video_Finished\60\60_CE.mp4,Video_Finished\60\60_English.srt,Video_Finished\60\60_Chinese.srt,adult,"male, female","Comedy, Movies & TV, Pets",B1,有阿拉伯语,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835216627056119808
58,60.0,61,Video_Finished\61\61_CE.mp4,Video_Finished\61\61_English.srt,Video_Finished\61\61_Chinese.srt,adult,female,Love & Relationships,A2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835217043177218048
59,61.0,62,Video_Finished\62\62_CE.mp4,Video_Finished\62\62_English.srt,Video_Finished\62\62_Chinese.srt,adult,"male, female","Culture, Movies & TV",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835217466407661568
60,62.0,63,Video_Finished\63\63_CE.mp4,Video_Finished\63\63_English.srt,Video_Finished\63\63_Chinese.srt,"k12, adult","male, female","Comedy, Cooking, Home & Garden",A2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835218127211859968
61,63.0,64,Video_Finished\64\64_CE.mp4,Video_Finished\64\64_English.srt,Video_Finished\64\64_Chinese.srt,"prek, k12", female,"DIY & Crafts, Art, Education",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835218641714565120
62,64.0,65,Video_Finished\65\65_CE.mp4,Video_Finished\65\65_English.srt,Video_Finished\65\65_Chinese.srt,"k12, adult","male, female","Comedy, Humor, Pets",A1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835219728362254337
63,65.0,66,Video_Finished\66\66_CE.mp4,Video_Finished\66\66_English.srt,Video_Finished\66\66_Chinese.srt,"k12, adult","male, female","Comedy, Humor, Art",A2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835057433837441026
64,66.0,67,Video_Finished\67\67_CE.mp4,Video_Finished\67\67_English.srt,Video_Finished\67\67_Chinese.srt,adult,"male, female","Comedy, Humor, Movies & TV",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835057434453995523
65,67.0,68,Video_Finished\68\68_CE.mp4,Video_Finished\68\68_English.srt,Video_Finished\68\68_Chinese.srt,adult, female,"Beauty, Thriller",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835057562476740608
66,68.0,69,Video_Finished\69\69_CE.mp4,Video_Finished\69\69_English.srt,Video_Finished\69\69_Chinese.srt,adult,"male, female","Comedy, Culture",A2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835057621297680384
67,69.0,70,Video_Finished\70\70_CE.mp4,Video_Finished\70\70_English.srt,Video_Finished\70\70_Chinese.srt,prek,female,"dance, education, music",A2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835057870212833281
68,70.0,71,Video_Finished\71\71_CE.mp4,Video_Finished\71\71_English.srt,Video_Finished\71\71_Chinese.srt,"k12, adult","male, female","Comedy, Pets, Humor",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835057928203288576
69,71.0,72,Video_Finished\72\72_CE.mp4,Video_Finished\72\72_English.srt,Video_Finished\72\72_Chinese.srt,adult,"male, female","Comedy, News & Politics",B2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835057991616962561
70,72.0,73,Video_Finished\73\73_CE.mp4,Video_Finished\73\73_English.srt,Video_Finished\73\73_Chinese.srt,"k12, adult","male, female","Comedy, Food, Movies & TV, Humor",A2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835058085619712000
71,73.0,74,Video_Finished\74\74_CE.mp4,Video_Finished\74\74_English.srt,Video_Finished\74\74_Chinese.srt,"k12, adult","male, female","Comedy, Food, Humor, Love & Relationships",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835058166645276673
72,74.0,75,Video_Finished\75\75_CE.mp4,Video_Finished\75\75_English.srt,Video_Finished\75\75_Chinese.srt,k12,"male, female",Education,A2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835058303824175104
73,76.0,77,Video_Finished\77\77_CE.mp4,Video_Finished\77\77_English.srt,Video_Finished\77\77_Chinese.srt,"prek, k12, adult","male, female","Pets, Fitness, Home & Garden",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835058439140810752
74,77.0,78,Video_Finished\78\78_CE.mp4,Video_Finished\78\78_English.srt,Video_Finished\78\78_Chinese.srt,"k12, adult","male, female","Comedy, Humor",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835058498720899072
75,78.0,79,Video_Finished\79\79_CE.mp4,Video_Finished\79\79_English.srt,Video_Finished\79\79_Chinese.srt,"prek, k12, adult","male, female","Comedy, Humor",A2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835058561471893504
76,79.0,80,Video_Finished\80\80_CE.mp4,Video_Finished\80\80_English.srt,Video_Finished\80\80_Chinese.srt,"k12, adult","male, female","Comedy, Humor, Love & Relationships",A2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835058623748907009
77,80.0,81,Video_Finished\81\81_CE.mp4,Video_Finished\81\81_English.srt,Video_Finished\81\81_Chinese.srt,"k12, adult","male, female","Comedy, Education, Humor",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835060609596674050
78,81.0,82,Video_Finished\82\82_CE.mp4,Video_Finished\82\82_English.srt,Video_Finished\82\82_Chinese.srt,"k12, adult","male, female","Travel, Entertainment, Nature",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835060688189517824
79,82.0,83,Video_Finished\83\83_CE.mp4,Video_Finished\83\83_English.srt,Video_Finished\83\83_Chinese.srt,"k12, adult","male, female","Comedy, Humor, Love & Relationships",A2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835060758783852545
80,83.0,84,Video_Finished\84\84_CE.mp4,Video_Finished\84\84_English.srt,Video_Finished\84\84_Chinese.srt,"prek, k12, adult","male, female","Sports, Fitness, Entertainment",A2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835060819433496576
81,85.0,86,Video_Finished\86\86_CE.mp4,Video_Finished\86\86_English.srt,Video_Finished\86\86_Chinese.srt,"k12, adult","male, female",Entertainment,B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835091791419957248
82,86.0,87,Video_Finished\87\87_CE.mp4,Video_Finished\87\87_English.srt,Video_Finished\87\87_Chinese.srt,"k12, adult","male, female","Comedy, Humor",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835091802409017344
83,87.0,88,Video_Finished\88\88_CE.mp4,Video_Finished\88\88_English.srt,Video_Finished\88\88_Chinese.srt,"k12, adult","male, female","Comedy, Humor, Love & Relationships, Entertainment",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835091845308370945
84,88.0,89,Video_Finished\89\89_CE.mp4,Video_Finished\89\89_English.srt,Video_Finished\89\89_Chinese.srt,adult,"male, female","Food, DIY & Crafts, Entertainment",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835092305750650880
85,89.0,90,Video_Finished\90\90_CE.mp4,Video_Finished\90\90_English.srt,Video_Finished\90\90_Chinese.srt,adult,"male, female","Food, DIY & Crafts, Entertainment",B2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835092446675083266
86,90.0,91,Video_Finished\91\91_CE.mp4,Video_Finished\91\91_English.srt,Video_Finished\91\91_Chinese.srt,"k12, adult","male, female","Comedy, Education, Humor, Entertainment",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835092926100795392
87,91.0,92,Video_Finished\92\92_CE.mp4,Video_Finished\92\92_English.srt,Video_Finished\92\92_Chinese.srt,"k12, adult","male, female","Education, Love & Relationships, Entertainment",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835092962457038848
88,92.0,93,Video_Finished\93\93_CE.mp4,Video_Finished\93\93_English.srt,Video_Finished\93\93_Chinese.srt,"prek, k12","male, female","Education, Entertainment",A2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835093002227433474
