,Unnamed: 0.1,Unnamed: 0,vid,video_path,en_srt,zh_srt,age,gender,interests,level,备注,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,zhihu_url,ar_srt
155,156.0,160.0,161,Video_Finished\161\161_CE.mp4,Video_Finished\161\161_English.srt,Video_Finished\161\161_Chinese.srt,"k12, adult",female,"Fashion, Beauty",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835327486474448896,Video_Finished\161\161_Arbic.srt
156,157.0,161.0,162,Video_Finished\162\162_CE.mp4,Video_Finished\162\162_English.srt,Video_Finished\162\162_Chinese.srt,"k12, adult","male, female","Humor, Entertainment, Family",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835327533530374144,Video_Finished\162\162_Arbic.srt
157,158.0,162.0,163,Video_Finished\163\163_CE.mp4,Video_Finished\163\163_English.srt,Video_Finished\163\163_Chinese.srt,adult,female,"Fashion, Beauty",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835327586785431554,Video_Finished\163\163_Arbic.srt
158,159.0,163.0,164,Video_Finished\164\164_CE.mp4,Video_Finished\164\164_English.srt,Video_Finished\164\164_Chinese.srt,"k12, adult","male, female","Comedy, Fashion, Beauty, Humor, Love & Relationships",A2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835327633841328128,Video_Finished\164\164_Arbic.srt
159,160.0,164.0,165,Video_Finished\165\165_CE.mp4,Video_Finished\165\165_English.srt,Video_Finished\165\165_Chinese.srt,adult,"male, female","Fashion, Beauty",A2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835327739718152195,Video_Finished\165\165_Arbic.srt
160,161.0,165.0,166,Video_Finished\166\166_CE.mp4,Video_Finished\166\166_English.srt,Video_Finished\166\166_Chinese.srt,adult,female,"Fashion, Beauty",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835066535166742530,Video_Finished\166\166_Arbic.srt
161,162.0,166.0,167,Video_Finished\167\167_CE.mp4,Video_Finished\167\167_English.srt,Video_Finished\167\167_Chinese.srt,"k12, adult","male, female","Education, Entertainment, Nature, Science",B2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835066197038739456,Video_Finished\167\167_Arbic.srt
162,163.0,167.0,168,Video_Finished\168\168_CE.mp4,Video_Finished\168\168_English.srt,Video_Finished\168\168_Chinese.srt,adult,"male, female","DIY & Crafts, Cars & Vehicles",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835058725725011968,Video_Finished\168\168_Arbic.srt
163,164.0,168.0,169,Video_Finished\169\169_CE.mp4,Video_Finished\169\169_English.srt,Video_Finished\169\169_Chinese.srt,adult,"male, female","Fashion, Beauty",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835059111294820353,Video_Finished\169\169_Arbic.srt
164,165.0,169.0,170,Video_Finished\170\170_CE.mp4,Video_Finished\170\170_English.srt,Video_Finished\170\170_Chinese.srt,adult,female,"Fashion, Beauty",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835059467835809792,Video_Finished\170\170_Arbic.srt
165,166.0,170.0,171,Video_Finished\171\171_CE.mp4,Video_Finished\171\171_English.srt,Video_Finished\171\171_Chinese.srt,adult,"male, female","Comedy, Culture, Entertainment, Love & Relationships",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835060907190910976,Video_Finished\171\171_Arbic.srt
166,167.0,171.0,172,Video_Finished\172\172_CE.mp4,Video_Finished\172\172_English.srt,Video_Finished\172\172_Chinese.srt,adult,"male, female","Comedy, Family & Parenting, Psychology, Humor",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835061644654436352,Video_Finished\172\172_Arbic.srt
167,168.0,172.0,173,Video_Finished\173\173_CE.mp4,Video_Finished\173\173_English.srt,Video_Finished\173\173_Chinese.srt,"k12, adult","male, female","History, Education, Science, Nature",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835061824132882435,Video_Finished\173\173_Arbic.srt
168,169.0,173.0,174,Video_Finished\174\174_CE.mp4,Video_Finished\174\174_English.srt,Video_Finished\174\174_Chinese.srt,"k12, adult","male, female","Education, Science, Technology, Entertainment",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835061978068025345,Video_Finished\174\174_Arbic.srt
169,170.0,174.0,175,Video_Finished\175\175_CE.mp4,Video_Finished\175\175_English.srt,Video_Finished\175\175_Chinese.srt,"k12, adult","male, female","Love & Relationships, Psychology",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835062084070694914,Video_Finished\175\175_Arbic.srt
170,171.0,175.0,176,Video_Finished\176\176_CE.mp4,Video_Finished\176\176_English.srt,Video_Finished\176\176_Chinese.srt,"k12, adult","male, female","Philosophy/Psychology, Travel, Nature",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835062368238956544,Video_Finished\176\176_Arbic.srt
171,172.0,176.0,177,Video_Finished\177\177_CE.mp4,Video_Finished\177\177_English.srt,Video_Finished\177\177_Chinese.srt,adult,"male, female","Love & Relationships, Motivation/Inspiration",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835062501672366080,Video_Finished\177\177_Arbic.srt
